prefix,function,expansion
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '2', 'x', 'mul', 's-', '1', 'mul', 'pow', 'x', 's+', '2', 'exp', 'x']",-x**2*exp(x) + x**2 - 2*x,-x**4/2 - x**3 - 2*x
"['cos', 'pow', 'mul', 'pow', 'x', 's-', '1', 'acos', 'tan', 'pow', 'x', 's+', '3', 'add', 'pow', 'x', 's+', '6', 'mul', 's-', '1', 'x']",cos((acos(tan(x**3))/x)**(x**6 - x)),cos(1)
"['add', 'x', 'tan', 'sin', 'x']",x + tan(sin(x)),x**3/6 + 2*x
"['add', 'pow', 'x', 's+', '2', 'mul', 's+', '2', 'x']",x**2 + 2*x,x**2 + 2*x
"['mul', 'pow', 'x', 's+', '2', 'pow', 'tan', 'mul', 'x', 'exp', 'x', 's+', '2']",x**2*tan(x*exp(x))**2,x**4
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '5', 'mul', 's+', '2', 'x']",-x**5 + 2*x,2*x
"['add', 'x', 'mul', 's-', '1', 'sin', 'x']",x - sin(x),x**3/6
"['cos', 'cos', 'x']",cos(cos(x)),x**4*(-3*cos(1) - sin(1))/24 + x**2*sin(1)/2 + cos(1)
"['mul', 'x', 'sin', 'cos', 'x']",x*sin(cos(x)),-x**3*cos(1)/2 + x*sin(1)
"['add', 'x', 'mul', 's+', '2', 'mul', 'x', 'cos', 'add', 's+', '1', 'x']",2*x*cos(x + 1) + x,x**4*sin(1)/3 - x**3*cos(1) - 2*x**2*sin(1) + x*(1 + 2*cos(1))
"['add', 'pow', 'x', 's+', '6', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",x**6 - x**2,-x**2
"['pow', 'x', 's+', '2']",x**2,x**2
"['add', 'x', 'mul', 'x', 'pow', 'cos', 'x', 's+', '5']",x*cos(x)**5 + x,-5*x**3/2 + 2*x
"['add', 'pow', 'x', 's+', '3', 'mul', 's+', '7', '2', '9', 'pow', 'x', 's+', '8']",729*x**8 + x**3,x**3
"['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'asin', 'mul', 'exp', 'x', 'exp', 'pow', 'x', 's+', '1', '2']",asin(exp(x)*exp(x**12))/2,pi/4
"['add', 's+', '1', 'x']",x + 1,x + 1
"['pow', 'add', 'x', 'pow', 'sin', 'add', 'x', 'acos', 'x', 's+', '5', 'x']",(x + sin(x + acos(x))**5)**x,5*x**4/6 - x**3/2 + x**2 + 1
"['add', 'x', 'pow', 'x', 's+', '2']",x**2 + x,x**2 + x
"['mul', 'x', 'cos', 'x']",x*cos(x),-x**3/2 + x
"['mul', 'x', 'exp', 'x']",x*exp(x),x**4/6 + x**3/2 + x**2 + x
"['acot', 'pow', 'x', 's+', '5']",acot(x**5),pi/2
"['add', 's+', '1', 'add', 'mul', 's-', '1', 'pow', 'x', 's+', '6', 'add', 'mul', 's-', '3', 'pow', 'x', 's+', '2', 'mul', 's+', '3', 'pow', 'x', 's+', '4']",-x**6 + 3*x**4 - 3*x**2 + 1,3*x**4 - 3*x**2 + 1
"['add', 'mul', 's-', '1', 'x', 'add', 'mul', 'pow', 'x', 's+', '2', 'ln', 'cos', 'x', 'add', 'mul', 's-', '1', 'mul', 'x', 'ln', 'cos', 'x', 'cos', 'x']",x**2*log(cos(x)) - x*log(cos(x)) - x + cos(x),-11*x**4/24 + x**3/2 - x**2/2 - x + 1
"['cos', 'x']",cos(x),x**4/24 - x**2/2 + 1
"['add', 'x', 'mul', 's-', '1', 'sin', 'sin', 'sin', 'mul', 'pow', 'x', 's+', '3', 'acos', 'x']",x - sin(sin(sin(x**3*acos(x)))),x**4 - pi*x**3/2 + x
"['ln', 'acos', 'asin', 'x']",log(acos(asin(x))),x**4*(-16/pi - 48/pi**3)/(12*pi) + x**3*(-2 - 8/pi**2)/(3*pi) - 2*x**2/pi**2 - 2*x/pi + log(pi/2)
"['mul', 's+', '4', 'pow', 'x', 's+', '2']",4*x**2,4*x**2
"['add', 's+', '1', 'pow', 'x', 's+', '2']",x**2 + 1,x**2 + 1
"['add', 'pow', 'x', 's+', '4', 'add', 'mul', 's-', '4', 'pow', 'x', 's+', '3', 'mul', 's+', '4', 'pow', 'x', 's+', '2']",x**4 - 4*x**3 + 4*x**2,x**4 - 4*x**3 + 4*x**2
"['mul', 'pow', 'sin', 'x', 's+', '4', 'acos', 'x']",sin(x)**4*acos(x),pi*x**4/2
"['mul', 's+', '2', 'x']",2*x,2*x
"['sin', 'cos', 'x']",sin(cos(x)),x**4*(-3*sin(1) + cos(1))/24 - x**2*cos(1)/2 + sin(1)
"['mul', 's-', '1', 'x']",-x,-x
"['add', 's-', '1', 'x']",x - 1,x - 1
"['add', 'x', 'mul', 's+', '4', 'pow', 'x', 's+', '4']",4*x**4 + x,4*x**4 + x
"['add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'x']",x**5 - x,-x
"['add', 'pow', 'add', 's+', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'pow', 'x', 's+', '2']",-x**2 + sqrt(1 - x**2),-x**4/8 - 3*x**2/2 + 1
"['mul', 's+', '2', 'pow', 'x', 's+', '2']",2*x**2,2*x**2
"['cos', 'add', 'mul', 's+', '2', 'x', 'mul', 's-', '1', 'mul', 'x', 'pow', 'cos', 'x', 's-', '1']",cos(2*x - x/cos(x)),13*x**4/24 - x**2/2 + 1
"['pow', 'acot', 'x', 's+', '3']",acot(x)**3,-pi*x**4 + x**3*(-6 + 3*pi**2/2)/6 + 3*pi*x**2/2 - 3*pi**2*x/4 + pi**3/8
"['sin', 'pow', 'x', 's+', '4']",sin(x**4),x**4
"['sin', 'pow', 'x', 's+', '2']",sin(x**2),x**2
"['mul', 'x', 'cos', 'add', 'pow', 'x', 's+', '2', 'asin', 'x']",x*cos(x**2 + asin(x)),-x**4 - x**3/2 + x
"['add', 'mul', 's-', '1', 'acot', 'x', 'mul', 's+', '3', 'x']",3*x - acot(x),-x**3/3 + 4*x - pi/2
"['ln', 'add', 's+', '1', 'add', 'x', 'mul', 's+', '2', 'pow', 'x', 's+', '2']",log(2*x**2 + x + 1),-x**4/4 - 5*x**3/3 + 3*x**2/2 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's+', '2', 'pow', 'x', 's+', '3', 'mul', 's+', '2', 'mul', 'pow', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1']",2*sqrt(2)*x**(5/2) + 2*x**3 + x**2,x**2
"['mul', 'x', 'tan', 'x']",x*tan(x),x**4/3 + x**2
"['add', 'mul', 's-', '1', 'pow', 'x', 's+', '2', 'sin', 'x']",-x**2 + sin(x),-x**3/6 - x**2 + x
"['add', 'x', 'pow', 'x', 's+', '3']",x**3 + x,x**3 + x
"['add', 'pow', 'x', 's+', '2', 'add', 'mul', 's-', '1', 'pow', 'x', 'mul', 's+', '5', 'pow', 's+', '2', 's-', '1', 'mul', 's+', '2', 'x']",-x**(5/2) + x**2 + 2*x,x**2 + 2*x
"['mul', 'pow', 'pow', 'x', 'pow', 'x', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's-', '1', 'pow', 's+', '2', 's-', '1', 'sin', 'pow', 'x', 'x']",sin(x**x)/sqrt(x**(sqrt(x))),sin(1)
"['add', 'x', 'pow', 'cos', 'add', 'asin', 'x', 'tan', 'x', 's+', '9']",x + cos(tan(x) + asin(x))**9,141*x**4 - 18*x**2 + x + 1
"['add', 'x', 'sin', 'x']",x + sin(x),-x**3/6 + 2*x
"['add', 'x', 'add', 'pow', 'x', 's+', '5', 'mul', 's-', '1', 'pow', 'x', 's+', '3']",x**5 - x**3 + x,-x**3 + x
"['add', 'mul', 's-', '2', 'pow', 'x', 's+', '4', 'mul', 's+', '2', 'mul', 'pow', 'x', 's+', '3', 'acot', 'mul', 's+', '2', 'x']",-2*x**4 + 2*x**3*acot(2*x),-6*x**4 + pi*x**3
"['sin', 'x']",sin(x),-x**3/6 + x
"['add', 'mul', 's+', '3', 'x', 'sin', 'mul', 's+', '2', 'x']",3*x + sin(2*x),-4*x**3/3 + 5*x
